Berlin,"Berlin, Stadt",Berlin
Metelsdorf,Metelsdorf,Mecklenburg-Vorpommern
Mellenthin,Mellenthin,Mecklenburg-Vorpommern
Steinthaleben,Steinthaleben,Thüringen
Süderdeich,Süderdeich,Schleswig-Holstein
Hamweddel,Hamweddel,Schleswig-Holstein
Heyen,Heyen,Niedersachsen
Esch,Esch,Rheinland-Pfalz
Pölich,Pölich,Rheinland-Pfalz
Rascheid,Rascheid,Rheinland-Pfalz
Zimmern unter der Burg,Zimmern unter der Burg,Baden-Württemberg
Weiler bei Monzingen,Weiler bei Monzingen,Rheinland-Pfalz
Schwollen,Schwollen,Rheinland-Pfalz
Lötzbeuren,Lötzbeuren,Rheinland-Pfalz
Groß Meckelsen,Groß Meckelsen,Niedersachsen
Borkow,Borkow,Mecklenburg-Vorpommern
Weesby,Weesby,Schleswig-Holstein
Insul,Insul,Rheinland-Pfalz
Bandenitz,Bandenitz,Mecklenburg-Vorpommern
Birgel,Birgel,Rheinland-Pfalz
Korbußen,Korbußen,Thüringen
Niederstadtfeld,Niederstadtfeld,Rheinland-Pfalz
Großderschau,Großderschau,Brandenburg
Leizen,Leizen,Mecklenburg-Vorpommern
Klings,Klings,Thüringen
Lippersdorf-Erdmannsdorf,Lippersdorf-Erdmannsdorf,Thüringen
Schöngleina,Schöngleina,Thüringen
Aventoft,Aventoft,Schleswig-Holstein
Kalt,Kalt,Rheinland-Pfalz
Linkenbach,Linkenbach,Rheinland-Pfalz
Hangen-Weisheim,Hangen-Weisheim,Rheinland-Pfalz
Obergröningen,Obergröningen,Baden-Württemberg
Gammelin,Gammelin,Mecklenburg-Vorpommern
Goldisthal,Goldisthal,Thüringen
Hardebek,Hardebek,Schleswig-Holstein
Hamersen,Hamersen,Niedersachsen
Hambach,Hambach,Rheinland-Pfalz
Ensch,Ensch,Rheinland-Pfalz
Roggenstorf,Roggenstorf,Mecklenburg-Vorpommern
Neef,Neef,Rheinland-Pfalz
Daubach,Daubach,Rheinland-Pfalz
Hundsdorf,Hundsdorf,Rheinland-Pfalz
Flußbach,Flußbach,Rheinland-Pfalz
Altwigshagen,Altwigshagen,Mecklenburg-Vorpommern
Monstab,Monstab,Thüringen
Heidekamp,Heidekamp,Schleswig-Holstein
Nienwohld,Nienwohld,Schleswig-Holstein
Wollershausen,Wollershausen,Niedersachsen
Winnen,Winnen,Rheinland-Pfalz
Ruthweiler,Ruthweiler,Rheinland-Pfalz
Schorssow,Schorssow,Mecklenburg-Vorpommern
Barnin,Barnin,Mecklenburg-Vorpommern
Kritzow,Kritzow,Mecklenburg-Vorpommern
Wobbenbüll,Wobbenbüll,Schleswig-Holstein
Bendorf,Bendorf,Schleswig-Holstein
Thumby,Thumby,Schleswig-Holstein
Steffenshagen,Steffenshagen,Mecklenburg-Vorpommern
Zella/Rhön,Zella/Rhön,Thüringen
Bocka,Bocka,Thüringen
Högel,Högel,Schleswig-Holstein
Pohnsdorf,Pohnsdorf,Schleswig-Holstein
Roklum,Roklum,Niedersachsen
Everode,Everode,Niedersachsen
Müllenbach,Müllenbach,Rheinland-Pfalz
Eckelsheim,Eckelsheim,Rheinland-Pfalz
Vielist,Vielist,Mecklenburg-Vorpommern
Thelkow,Thelkow,Mecklenburg-Vorpommern
Stakendorf,Stakendorf,Schleswig-Holstein
Hagen,Hagen,Schleswig-Holstein
Welterod,Welterod,Rheinland-Pfalz
Berglicht,Berglicht,Rheinland-Pfalz
Groß Gievitz,Groß Gievitz,Mecklenburg-Vorpommern
Düvier,Düvier,Mecklenburg-Vorpommern
Diestelow,Diestelow,Mecklenburg-Vorpommern
Malk Göhren,Malk Göhren,Mecklenburg-Vorpommern
Meura,Meura,Thüringen
Linda b. Weida,Linda b. Weida,Thüringen
Schulendorf,Schulendorf,Schleswig-Holstein
Abentheuer,Abentheuer,Rheinland-Pfalz
Utscheid,Utscheid,Rheinland-Pfalz
Rumbach,Rumbach,Rheinland-Pfalz
Lansen-Schönau,Lansen-Schönau,Mecklenburg-Vorpommern
Lohme,Lohme,Mecklenburg-Vorpommern
Stelle-Wittenwurth,Stelle-Wittenwurth,Schleswig-Holstein
Oevenum,Oevenum,Schleswig-Holstein
Postfeld,Postfeld,Schleswig-Holstein
Lengenbostel,Lengenbostel,Niedersachsen
Sülm,Sülm,Rheinland-Pfalz
Grumbach,Grumbach,Rheinland-Pfalz
Jesendorf,Jesendorf,Mecklenburg-Vorpommern
Unterweid,Unterweid,Thüringen
Welmbüttel,Welmbüttel,Schleswig-Holstein
Nußbaum,Nußbaum,Rheinland-Pfalz
Hahn bei Marienberg,Hahn bei Marienberg,Rheinland-Pfalz
Gompertshausen,Gompertshausen,Thüringen
Norath,Norath,Rheinland-Pfalz
Mörsbach,Mörsbach,Rheinland-Pfalz
Breunigweiler,Breunigweiler,Rheinland-Pfalz
Ziethen,Ziethen,Brandenburg
Auerstedt,Auerstedt,Thüringen
Beuren,Beuren,Rheinland-Pfalz
Kerben,Kerben,Rheinland-Pfalz
Niedersohren,Niedersohren,Rheinland-Pfalz
Ensheim,Ensheim,Rheinland-Pfalz
Dersenow,Dersenow,Mecklenburg-Vorpommern
Lengfeld,Lengfeld,Thüringen
Schmalensee,Schmalensee,Schleswig-Holstein
Bruch,Bruch,Rheinland-Pfalz
Kükels,Kükels,Schleswig-Holstein
Gribbohm,Gribbohm,Schleswig-Holstein
Kemmenau,Kemmenau,Rheinland-Pfalz
Bärenthal,Bärenthal,Baden-Württemberg
Marisfeld,Marisfeld,Thüringen
Langenbach,Langenbach,Rheinland-Pfalz
Gülzow,Gülzow,Mecklenburg-Vorpommern
Glasewitz,Glasewitz,Mecklenburg-Vorpommern
Zepelin,Zepelin,Mecklenburg-Vorpommern
Bergen,Bergen,Rheinland-Pfalz
Berglangenbach,Berglangenbach,Rheinland-Pfalz
Roth bei Prüm,Roth bei Prüm,Rheinland-Pfalz
Dernbach,Dernbach,Rheinland-Pfalz
Einhausen,Einhausen,Thüringen
Krokau,Krokau,Schleswig-Holstein
Mehlbek,Mehlbek,Schleswig-Holstein
Besitz,Besitz,Mecklenburg-Vorpommern
Reinsbüttel,Reinsbüttel,Schleswig-Holstein
Boksee,Boksee,Schleswig-Holstein
Bissersheim,Bissersheim,Rheinland-Pfalz
Rossow,Rossow,Mecklenburg-Vorpommern
Prasdorf,Prasdorf,Schleswig-Holstein
Ollendorf,Ollendorf,Thüringen
Honigsee,Honigsee,Schleswig-Holstein
Gondenbrett,Gondenbrett,Rheinland-Pfalz
Quarnstedt,Quarnstedt,Schleswig-Holstein
Engden,Engden,Niedersachsen
Sensweiler,Sensweiler,Rheinland-Pfalz
Rettert,Rettert,Rheinland-Pfalz
Limbach,Limbach,Rheinland-Pfalz
Niederöfflingen,Niederöfflingen,Rheinland-Pfalz
Torgelow am See,Torgelow am See,Mecklenburg-Vorpommern
Vollrathsruhe,Vollrathsruhe,Mecklenburg-Vorpommern
Brünn/Thür.,Brünn/Thür.,Thüringen
Oberbrombach,Oberbrombach,Rheinland-Pfalz
Schwirzheim,Schwirzheim,Rheinland-Pfalz
Bayerfeld-Steckweiler,Bayerfeld-Steckweiler,Rheinland-Pfalz
Einöllen,Einöllen,Rheinland-Pfalz
Hollenbek,Hollenbek,Schleswig-Holstein
Rodenäs,Rodenäs,Schleswig-Holstein
Krogaspe,Krogaspe,Schleswig-Holstein
Pommern,Pommern,Rheinland-Pfalz
Staven,Staven,Mecklenburg-Vorpommern
Walkendorf,Walkendorf,Mecklenburg-Vorpommern
Kabelhorst,Kabelhorst,Schleswig-Holstein
Naunheim,Naunheim,Rheinland-Pfalz
Kalenborn-Scheuern,Kalenborn-Scheuern,Rheinland-Pfalz
Sulzbachtal,Sulzbachtal,Rheinland-Pfalz
Sarnow,Sarnow,Mecklenburg-Vorpommern
Sargenroth,Sargenroth,Rheinland-Pfalz
Hergenroth,Hergenroth,Rheinland-Pfalz
Buddenhagen,Buddenhagen,Mecklenburg-Vorpommern
Butzow,Butzow,Mecklenburg-Vorpommern
Blievenstorf,Blievenstorf,Mecklenburg-Vorpommern
Pritzier,Pritzier,Mecklenburg-Vorpommern
Kleve,Kleve,Schleswig-Holstein
Bärenbach,Bärenbach,Rheinland-Pfalz
Weinähr,Weinähr,Rheinland-Pfalz
Horath,Horath,Rheinland-Pfalz
Strotzbüsch,Strotzbüsch,Rheinland-Pfalz
Mörsdorf,Mörsdorf,Thüringen
Lüerdissen,Lüerdissen,Niedersachsen
Alsdorf,Alsdorf,Rheinland-Pfalz
Idenheim,Idenheim,Rheinland-Pfalz
Olderup,Olderup,Schleswig-Holstein
Misselwarden,Misselwarden,Niedersachsen
Wimbach,Wimbach,Rheinland-Pfalz
Niederwambach,Niederwambach,Rheinland-Pfalz
Norddeich,Norddeich,Schleswig-Holstein
Dürnau,Dürnau,Baden-Württemberg
Nottleben,Nottleben,Thüringen
Ramstedt,Ramstedt,Schleswig-Holstein
Ülsby,Ülsby,Schleswig-Holstein
Dedenbach,Dedenbach,Rheinland-Pfalz
Warmsroth,Warmsroth,Rheinland-Pfalz
Herold,Herold,Rheinland-Pfalz
Urleben,Urleben,Thüringen
Valwig,Valwig,Rheinland-Pfalz
Üttfeld,Üttfeld,Rheinland-Pfalz
Grambin,Grambin,Mecklenburg-Vorpommern
Osterrade,Osterrade,Schleswig-Holstein
Dickesbach,Dickesbach,Rheinland-Pfalz
Laubach,Laubach,Rheinland-Pfalz
Nohn,Nohn,Rheinland-Pfalz
Dackenheim,Dackenheim,Rheinland-Pfalz
Heinrichswalde,Heinrichswalde,Mecklenburg-Vorpommern
Norstedt,Norstedt,Schleswig-Holstein
Remmels,Remmels,Schleswig-Holstein
Holenberg,Holenberg,Niedersachsen
Hagermarsch,Hagermarsch,Niedersachsen
Gollenberg,Gollenberg,Brandenburg
Schönermark,Schönermark,Brandenburg
Schönbeck,Schönbeck,Mecklenburg-Vorpommern
Oberwambach,Oberwambach,Rheinland-Pfalz
Dörsdorf,Dörsdorf,Rheinland-Pfalz
Holzerath,Holzerath,Rheinland-Pfalz
Pudagla,Pudagla,Mecklenburg-Vorpommern
Wendisch Priborn,Wendisch Priborn,Mecklenburg-Vorpommern
Hümpfershausen,Hümpfershausen,Thüringen
Posterstein,Posterstein,Thüringen
Mözen,Mözen,Schleswig-Holstein
Sommerloch,Sommerloch,Rheinland-Pfalz
Gilzem,Gilzem,Rheinland-Pfalz
Steinalben,Steinalben,Rheinland-Pfalz
Schleifreisen,Schleifreisen,Thüringen
Pottiga,Pottiga,Thüringen
Neumühle/Elster,Neumühle/Elster,Thüringen
Nettelsee,Nettelsee,Schleswig-Holstein
Achtelsbach,Achtelsbach,Rheinland-Pfalz
Bubenheim,Bubenheim,Rheinland-Pfalz
Wasserthaleben,Wasserthaleben,Thüringen
Dreitzsch,Dreitzsch,Thüringen
Alkersum,Alkersum,Schleswig-Holstein
Luhnstedt,Luhnstedt,Schleswig-Holstein
Urmersbach,Urmersbach,Rheinland-Pfalz
Unzenberg,Unzenberg,Rheinland-Pfalz
Hardt,Hardt,Rheinland-Pfalz
Molsberg,Molsberg,Rheinland-Pfalz
Wallenborn,Wallenborn,Rheinland-Pfalz
Rehweiler,Rehweiler,Rheinland-Pfalz
Ritzerow,Ritzerow,Mecklenburg-Vorpommern
Warrenzin,Warrenzin,Mecklenburg-Vorpommern
Kobrow,Kobrow,Mecklenburg-Vorpommern
Hausen,Hausen,Thüringen
Flarchheim,Flarchheim,Thüringen
Wakendorf I,Wakendorf I,Schleswig-Holstein
Seelbach,Seelbach,Rheinland-Pfalz
Merkelbach,Merkelbach,Rheinland-Pfalz
Eßweiler,Eßweiler,Rheinland-Pfalz
Knopp-Labach,Knopp-Labach,Rheinland-Pfalz
Kaltenlengsfeld,Kaltenlengsfeld,Thüringen
Mackenrodt,Mackenrodt,Rheinland-Pfalz
Warlitz,Warlitz,Mecklenburg-Vorpommern
Wahns,Wahns,Thüringen
Friedrichsholm,Friedrichsholm,Schleswig-Holstein
Kaaks,Kaaks,Schleswig-Holstein
Aull,Aull,Rheinland-Pfalz
Röhl,Röhl,Rheinland-Pfalz
Bechenheim,Bechenheim,Rheinland-Pfalz
Liebstedt,Liebstedt,Thüringen
Renthendorf,Renthendorf,Thüringen
Vahlbruch,Vahlbruch,Niedersachsen
Birkenbeul,Birkenbeul,Rheinland-Pfalz
Sinspelt,Sinspelt,Rheinland-Pfalz
Kleinbundenbach,Kleinbundenbach,Rheinland-Pfalz
Ettenhausen a.d. Suhl,Ettenhausen a.d. Suhl,Thüringen
Tastrup,Tastrup,Schleswig-Holstein
Winsen,Winsen,Schleswig-Holstein
Heimweiler,Heimweiler,Rheinland-Pfalz
Vipperow,Vipperow,Mecklenburg-Vorpommern
Groß Polzin,Groß Polzin,Mecklenburg-Vorpommern
Kauern,Kauern,Thüringen
Göhren,Göhren,Thüringen
Fuhlendorf,Fuhlendorf,Schleswig-Holstein
Fensdorf,Fensdorf,Rheinland-Pfalz
Attenhausen,Attenhausen,Rheinland-Pfalz
Hochborn,Hochborn,Rheinland-Pfalz
Mannweiler-Cölln,Mannweiler-Cölln,Rheinland-Pfalz
Oberarnbach,Oberarnbach,Rheinland-Pfalz
Krems II,Krems II,Schleswig-Holstein
Neuhof,Neuhof,Niedersachsen
Niederwallmenach,Niederwallmenach,Rheinland-Pfalz
Drackenstein,Drackenstein,Baden-Württemberg
Sauzin,Sauzin,Mecklenburg-Vorpommern
Brodersdorf,Brodersdorf,Schleswig-Holstein
Högsdorf,Högsdorf,Schleswig-Holstein
Holstenniendorf,Holstenniendorf,Schleswig-Holstein
Ehlenz,Ehlenz,Rheinland-Pfalz
Verchen,Verchen,Mecklenburg-Vorpommern
Krugsdorf,Krugsdorf,Mecklenburg-Vorpommern
Grambek,Grambek,Schleswig-Holstein
Stein-Neukirch,Stein-Neukirch,Rheinland-Pfalz
Lösnich,Lösnich,Rheinland-Pfalz
Blankenberg,Blankenberg,Mecklenburg-Vorpommern
Uelitz,Uelitz,Mecklenburg-Vorpommern
Kapellendorf,Kapellendorf,Thüringen
Janneby,Janneby,Schleswig-Holstein
Gimbweiler,Gimbweiler,Rheinland-Pfalz
Neunkirchen am Potzberg,Neunkirchen am Potzberg,Rheinland-Pfalz
Zapel,Zapel,Mecklenburg-Vorpommern
Damendorf,Damendorf,Schleswig-Holstein
Goddert,Goddert,Rheinland-Pfalz
Ernzen,Ernzen,Rheinland-Pfalz
Kleinbartloff,Kleinbartloff,Thüringen
Eichenberg,Eichenberg,Thüringen
Lieth,Lieth,Schleswig-Holstein
Raumbach,Raumbach,Rheinland-Pfalz
Mittelstrimmig,Mittelstrimmig,Rheinland-Pfalz
Heinzenbach,Heinzenbach,Rheinland-Pfalz
Börsborn,Börsborn,Rheinland-Pfalz
Reimershagen,Reimershagen,Mecklenburg-Vorpommern
Seega,Seega,Thüringen
Utersum,Utersum,Schleswig-Holstein
Harschbach,Harschbach,Rheinland-Pfalz
Waldleiningen,Waldleiningen,Rheinland-Pfalz
Alt Tellin,Alt Tellin,Mecklenburg-Vorpommern
Meiersberg,Meiersberg,Mecklenburg-Vorpommern
Krummbek,Krummbek,Schleswig-Holstein
Alterkülz,Alterkülz,Rheinland-Pfalz
Riveris,Riveris,Rheinland-Pfalz
Moßbach,Moßbach,Thüringen
Beierstedt,Beierstedt,Niedersachsen
Barweiler,Barweiler,Rheinland-Pfalz
Breitenheim,Breitenheim,Rheinland-Pfalz
Idesheim,Idesheim,Rheinland-Pfalz
Kreien,Kreien,Mecklenburg-Vorpommern
Rückweiler,Rückweiler,Rheinland-Pfalz
Schmitshausen,Schmitshausen,Rheinland-Pfalz
Hohen Demzin,Hohen Demzin,Mecklenburg-Vorpommern
Mustin,Mustin,Mecklenburg-Vorpommern
Dörscheid,Dörscheid,Rheinland-Pfalz
Grapzow,Grapzow,Mecklenburg-Vorpommern
Torgelow-Holländerei,Torgelow-Holländerei,Mecklenburg-Vorpommern
Tessin b. Boizenburg,Tessin b. Boizenburg,Mecklenburg-Vorpommern
Schmiedehausen,Schmiedehausen,Thüringen
Schmieritz,Schmieritz,Thüringen
Högersdorf,Högersdorf,Schleswig-Holstein
Stocksee,Stocksee,Schleswig-Holstein
Quernheim,Quernheim,Niedersachsen
Almersbach,Almersbach,Rheinland-Pfalz
Oberhaid,Oberhaid,Rheinland-Pfalz
Schönau (Pfalz),Schönau (Pfalz),Rheinland-Pfalz
Mittenwalde,Mittenwalde,Brandenburg
Gager,Gager,Mecklenburg-Vorpommern
Pferdingsleben,Pferdingsleben,Thüringen
Ottendorf,Ottendorf,Thüringen
Reiferscheid,Reiferscheid,Rheinland-Pfalz
Schauren,Schauren,Rheinland-Pfalz
Mudershausen,Mudershausen,Rheinland-Pfalz
Birkenhügel,Birkenhügel,Thüringen
Schloßböckelheim,Schloßböckelheim,Rheinland-Pfalz
Frauenberg,Frauenberg,Rheinland-Pfalz
Burg (Mosel),Burg (Mosel),Rheinland-Pfalz
Alt Sührkow,Alt Sührkow,Mecklenburg-Vorpommern
Groß Offenseth-Aspern,Groß Offenseth-Aspern,Schleswig-Holstein
Pegestorf,Pegestorf,Niedersachsen
Kratzenburg,Kratzenburg,Rheinland-Pfalz
Härtlingen,Härtlingen,Rheinland-Pfalz
Esch,Esch,Rheinland-Pfalz
Flemlingen,Flemlingen,Rheinland-Pfalz
Groß Godems,Groß Godems,Mecklenburg-Vorpommern
Kospoda,Kospoda,Thüringen
Höhndorf,Höhndorf,Schleswig-Holstein
Graitschen b. Bürgel,Graitschen b. Bürgel,Thüringen
Marnerdeich,Marnerdeich,Schleswig-Holstein
Goldelund,Goldelund,Schleswig-Holstein
Schierensee,Schierensee,Schleswig-Holstein
Gering,Gering,Rheinland-Pfalz
Hersdorf,Hersdorf,Rheinland-Pfalz
Hausten,Hausten,Rheinland-Pfalz
Isselbach,Isselbach,Rheinland-Pfalz
Watzerath,Watzerath,Rheinland-Pfalz
Bescheid,Bescheid,Rheinland-Pfalz
Wiesweiler,Wiesweiler,Rheinland-Pfalz
Levenhagen,Levenhagen,Mecklenburg-Vorpommern
Kleinneuhausen,Kleinneuhausen,Thüringen
Midlum,Midlum,Schleswig-Holstein
Callbach,Callbach,Rheinland-Pfalz
Laudert,Laudert,Rheinland-Pfalz
Westermoor,Westermoor,Schleswig-Holstein
Patersberg,Patersberg,Rheinland-Pfalz
Milow,Milow,Mecklenburg-Vorpommern
Schöneberg,Schöneberg,Rheinland-Pfalz
Lockwisch,Lockwisch,Mecklenburg-Vorpommern
Paitzdorf,Paitzdorf,Thüringen
Basthorst,Basthorst,Schleswig-Holstein
Poyenberg,Poyenberg,Schleswig-Holstein
Arholzen,Arholzen,Niedersachsen
Becherbach bei Kirn,Becherbach bei Kirn,Rheinland-Pfalz
Lieg,Lieg,Rheinland-Pfalz
Hahn am See,Hahn am See,Rheinland-Pfalz
Zierzow,Zierzow,Mecklenburg-Vorpommern
Gumperda,Gumperda,Thüringen
Garding,"Garding, Kirchspiel",Schleswig-Holstein
Borgdorf-Seedorf,Borgdorf-Seedorf,Schleswig-Holstein
Brammer,Brammer,Schleswig-Holstein
Berndroth,Berndroth,Rheinland-Pfalz
Geichlingen,Geichlingen,Rheinland-Pfalz
Kastel-Staadt,Kastel-Staadt,Rheinland-Pfalz
Blaubach,Blaubach,Rheinland-Pfalz
Ibach,Ibach,Baden-Württemberg
Dautmergen,Dautmergen,Baden-Württemberg
Holdorf,Holdorf,Mecklenburg-Vorpommern
Oberbösa,Oberbösa,Thüringen
Angelroda,Angelroda,Thüringen
Meckel,Meckel,Rheinland-Pfalz
Linda b. Neustadt an der Orla,Linda b. Neustadt an der Orla,Thüringen
Armstedt,Armstedt,Schleswig-Holstein
Ingeleben,Ingeleben,Niedersachsen
Niederhofen,Niederhofen,Rheinland-Pfalz
Obertiefenbach,Obertiefenbach,Rheinland-Pfalz
Thalwenden,Thalwenden,Thüringen
Tegau,Tegau,Thüringen
Stubben,Stubben,Schleswig-Holstein
Osterhorn,Osterhorn,Schleswig-Holstein
Boitze,Boitze,Niedersachsen
Battenberg (Pfalz),Battenberg (Pfalz),Rheinland-Pfalz
Kluis,Kluis,Mecklenburg-Vorpommern
Gudendorf,Gudendorf,Schleswig-Holstein
Tröndel,Tröndel,Schleswig-Holstein
Weenzen,Weenzen,Niedersachsen
Nohen,Nohen,Rheinland-Pfalz
Grenderich,Grenderich,Rheinland-Pfalz
Niederweiler,Niederweiler,Rheinland-Pfalz
Lohnweiler,Lohnweiler,Rheinland-Pfalz
Crispendorf,Crispendorf,Thüringen
Zehnhausen bei Rennerod,Zehnhausen bei Rennerod,Rheinland-Pfalz
Leinsweiler,Leinsweiler,Rheinland-Pfalz
Westre,Westre,Schleswig-Holstein
Lautzenbrücken,Lautzenbrücken,Rheinland-Pfalz
Unterkatz,Unterkatz,Thüringen
Westenfeld,Westenfeld,Thüringen
Wulfsmoor,Wulfsmoor,Schleswig-Holstein
Uhler,Uhler,Rheinland-Pfalz
Treplin,Treplin,Brandenburg
Hundsbach,Hundsbach,Rheinland-Pfalz
Steenfeld,Steenfeld,Schleswig-Holstein
Hentern,Hentern,Rheinland-Pfalz
Ottersheim,Ottersheim,Rheinland-Pfalz
Großpürschütz,Großpürschütz,Thüringen
Manhagen,Manhagen,Schleswig-Holstein
Meckenbach,Meckenbach,Rheinland-Pfalz
Brohl,Brohl,Rheinland-Pfalz
Reckershausen,Reckershausen,Rheinland-Pfalz
Esselborn,Esselborn,Rheinland-Pfalz
Thürkow,Thürkow,Mecklenburg-Vorpommern
Lancken-Granitz,Lancken-Granitz,Mecklenburg-Vorpommern
Bibow,Bibow,Mecklenburg-Vorpommern
Lemnitz,Lemnitz,Thüringen
Weira,Weira,Thüringen
Schutzbach,Schutzbach,Rheinland-Pfalz
Schmidthachenbach,Schmidthachenbach,Rheinland-Pfalz
Sundhausen,Sundhausen,Thüringen
Westgreußen,Westgreußen,Thüringen
Miellen,Miellen,Rheinland-Pfalz
Henfstädt,Henfstädt,Thüringen
Kruchten,Kruchten,Rheinland-Pfalz
Lützkampen,Lützkampen,Rheinland-Pfalz
Ormont,Ormont,Rheinland-Pfalz
Hohen Pritz,Hohen Pritz,Mecklenburg-Vorpommern
Reudelsterz,Reudelsterz,Rheinland-Pfalz
Lübs,Lübs,Mecklenburg-Vorpommern
Frestedt,Frestedt,Schleswig-Holstein
Pogeez,Pogeez,Schleswig-Holstein
Brebel,Brebel,Schleswig-Holstein
Fredesdorf,Fredesdorf,Schleswig-Holstein
Virneburg,Virneburg,Rheinland-Pfalz
Waldrohrbach,Waldrohrbach,Rheinland-Pfalz
Brunnhartshausen,Brunnhartshausen,Thüringen
Wölferbütt,Wölferbütt,Thüringen
Sachsenhausen,Sachsenhausen,Thüringen
Siesbach,Siesbach,Rheinland-Pfalz
Mertesheim,Mertesheim,Rheinland-Pfalz
Rosenkopf,Rosenkopf,Rheinland-Pfalz
Schönfeld,Schönfeld,Mecklenburg-Vorpommern
Weitendorf,Weitendorf,Mecklenburg-Vorpommern
Looft,Looft,Schleswig-Holstein
Gnevkow,Gnevkow,Mecklenburg-Vorpommern
Bartelshagen II b. Barth,Bartelshagen II b. Barth,Mecklenburg-Vorpommern
Gneven,Gneven,Mecklenburg-Vorpommern
Gerterode,Gerterode,Thüringen
Herrmannsacker,Herrmannsacker,Thüringen
Scheggerott,Scheggerott,Schleswig-Holstein
Kaltenborn,Kaltenborn,Rheinland-Pfalz
Boos,Boos,Rheinland-Pfalz
Desloch,Desloch,Rheinland-Pfalz
Hirschberg,Hirschberg,Rheinland-Pfalz
Forst (Eifel),Forst (Eifel),Rheinland-Pfalz
Wallendorf,Wallendorf,Rheinland-Pfalz
Föckelberg,Föckelberg,Rheinland-Pfalz
Thiessow,Thiessow,Mecklenburg-Vorpommern
Perlin,Perlin,Mecklenburg-Vorpommern
Dargelin,Dargelin,Mecklenburg-Vorpommern
Werder,Werder,Mecklenburg-Vorpommern
Behlendorf,Behlendorf,Schleswig-Holstein
Kühsen,Kühsen,Schleswig-Holstein
Seefeld,Seefeld,Schleswig-Holstein
Geltorf,Geltorf,Schleswig-Holstein
Hintertiefenbach,Hintertiefenbach,Rheinland-Pfalz
Perscheid,Perscheid,Rheinland-Pfalz
Mallin,Mallin,Mecklenburg-Vorpommern
Beilingen,Beilingen,Rheinland-Pfalz
Bermersheim vor der Höhe,Bermersheim vor der Höhe,Rheinland-Pfalz
Stolpe auf Usedom,Stolpe auf Usedom,Mecklenburg-Vorpommern
Hainrode/Hainleite,Hainrode/Hainleite,Thüringen
Einhaus,Einhaus,Schleswig-Holstein
Uphusum,Uphusum,Schleswig-Holstein
Lutterbek,Lutterbek,Schleswig-Holstein
Erden,Erden,Rheinland-Pfalz
Karlshausen,Karlshausen,Rheinland-Pfalz
Deudesfeld,Deudesfeld,Rheinland-Pfalz
Reipoltskirchen,Reipoltskirchen,Rheinland-Pfalz
Kleinbodungen,Kleinbodungen,Thüringen
Diedorf/Rhön,Diedorf/Rhön,Thüringen
Reichstädt,Reichstädt,Thüringen
Dickendorf,Dickendorf,Rheinland-Pfalz
Schleid,Schleid,Rheinland-Pfalz
Hinzweiler,Hinzweiler,Rheinland-Pfalz
Zarnewanz,Zarnewanz,Mecklenburg-Vorpommern
Lütow,Lütow,Mecklenburg-Vorpommern
Pätow-Steegen,Pätow-Steegen,Mecklenburg-Vorpommern
Süderdorf,Süderdorf,Schleswig-Holstein
Sahms,Sahms,Schleswig-Holstein
Rettersen,Rettersen,Rheinland-Pfalz
Bergholz,Bergholz,Mecklenburg-Vorpommern
Wehnde,Wehnde,Thüringen
Kleineutersdorf,Kleineutersdorf,Thüringen
Geilnau,Geilnau,Rheinland-Pfalz
Gutenacker,Gutenacker,Rheinland-Pfalz
Rutsweiler an der Lauter,Rutsweiler an der Lauter,Rheinland-Pfalz
Stolpe,Stolpe,Mecklenburg-Vorpommern
Bullenkuhlen,Bullenkuhlen,Schleswig-Holstein
Sankt Katharinen,Sankt Katharinen,Rheinland-Pfalz
Franzenheim,Franzenheim,Rheinland-Pfalz
Kümmernitztal,Kümmernitztal,Brandenburg
Alt Zachun,Alt Zachun,Mecklenburg-Vorpommern
Bermel,Bermel,Rheinland-Pfalz
Netzbach,Netzbach,Rheinland-Pfalz
Groß Dratow,Groß Dratow,Mecklenburg-Vorpommern
Schwarz,Schwarz,Mecklenburg-Vorpommern
Oberhausen an der Nahe,Oberhausen an der Nahe,Rheinland-Pfalz
Naurath (Eifel),Naurath (Eifel),Rheinland-Pfalz
Liebenstein,Liebenstein,Thüringen
Deesbach,Deesbach,Thüringen
Hartmannsdorf,Hartmannsdorf,Thüringen
Belau,Belau,Schleswig-Holstein
Halbs,Halbs,Rheinland-Pfalz
Kleßen-Görne,Kleßen-Görne,Brandenburg
Altenhof,Altenhof,Mecklenburg-Vorpommern
Nadrensee,Nadrensee,Mecklenburg-Vorpommern
Mannstedt,Mannstedt,Thüringen
Oberstadt,Oberstadt,Thüringen
Hohenfelden,Hohenfelden,Thüringen
Büsumer Deichhausen,Büsumer Deichhausen,Schleswig-Holstein
Alt Bennebek,Alt Bennebek,Schleswig-Holstein
Rosdorf,Rosdorf,Schleswig-Holstein
Hohenleimbach,Hohenleimbach,Rheinland-Pfalz
Macken,Macken,Rheinland-Pfalz
Belrieth,Belrieth,Thüringen
Wölfershausen,Wölfershausen,Thüringen
Kirchsahr,Kirchsahr,Rheinland-Pfalz
Geisig,Geisig,Rheinland-Pfalz
Eckfeld,Eckfeld,Rheinland-Pfalz
Benitz,Benitz,Mecklenburg-Vorpommern
Henschleben,Henschleben,Thüringen
Warnau,Warnau,Schleswig-Holstein
Hüttblek,Hüttblek,Schleswig-Holstein
Fitzbek,Fitzbek,Schleswig-Holstein
